title,release_date,popularity,vote_average,vote_count
Robotix,1990-02-01,1.5814,6.5,10
Battle of Memories,2017-04-28,1.0628,6.607,56
Sigma,2005-02-05,1.6799,0.0,0
Hydra,2009-02-22,1.282,4.247,81
Future Kick,1991-11-19,1.0927,4.0,16
Yashoda,2022-11-11,1.0186,6.5,21
Space Battleship Yamato,2010-12-01,1.5392,6.453,253
2073,2024-12-27,1.8713,6.621,95
The Swarm,1978-07-14,1.5748,4.997,192
Beavis and Butt-Head Do the Universe,2022-06-23,1.674,6.954,250
GoGo Sentai Boukenger vs. Super Sentai,2007-03-31,1.9607,7.3,9
Strange Frequency²,2003-05-13,0.8358,5.4,4
Ursa Major,,1.6625,0.0,0
Pulse Pounders,1988-01-01,1.0808,4.692,13
The Lost Future,2010-11-13,1.496,4.9,151
D.A.R.Y.L.,1985-06-14,1.6792,6.403,354
Pelangi di Mars,2026-03-18,1.4867,0.0,0
Tang,2022-08-11,1.4209,4.9,7
Sakura Wars: The Movie,2003-09-09,1.8272,4.5,13
Samurai Resurrection,2003-04-26,1.3917,4.727,11
Parasite Dolls,2004-10-19,1.764,5.6,39
Forbidden Empire,2015-05-22,2.0115,5.91,332
Injection,,1.9101,0.0,0
The Day I Bought a Star,2006-01-03,1.2395,7.8,14
Scryed Alteration I: Tao,2011-11-19,1.5453,7.5,1
Space-Time Traveler - Time Stranger,1986-12-20,1.9322,6.45,10
Someday or One Day,2022-12-24,1.388,5.8,20
Young Ones,2014-10-09,1.3138,5.7,325
Indru Netru Naalai,2015-06-26,1.3472,7.7,38
Deadful Melody,1994-07-23,1.3181,6.0,29
Date A Live: Mayuri Judgement,2016-02-26,1.4718,7.3,72
Brick Bradford,1947-12-18,1.0143,6.0,1
"Hello, Friend",2003-02-02,1.5316,6.75,14
Village of the Damned,1995-04-28,1.8965,6.102,901
Storage 24,2013-01-11,2.2229,4.356,149
Phantoms,1998-01-23,1.6745,5.392,381
Polaris,,1.8669,0.0,0
Long Dream,2000-07-07,1.197,5.8,18
Star Wars: Starfighter,2027-05-28,1.965,0.0,0
The Super Inframan,1975-08-01,1.352,6.014,72
Tokusou Sentai Dekaranger VS Abaranger,2005-03-11,1.6493,6.4,11
Arrowhead,2017-06-23,1.7507,4.609,64
KanColle Movie,2016-11-26,1.6066,5.0,22
Prehysteria! 3,1995-09-26,1.1132,4.278,18
The Lawnmower Man,1992-03-05,1.7467,5.626,832
Zombie City,2017-09-01,1.5165,6.5,2
Gangland,2001-01-01,1.1909,4.1,12
Alien Abduction,2014-04-04,1.3382,5.907,405
Sssh!,2012-03-25,1.6083,0.0,0
Area Q.,2012-04-13,1.6504,4.8,20
Alien Nation,1988-10-07,1.3013,6.067,330
The Further Adventures of Anse and Bhule in No-Man's Land,2017-01-01,0.663,1.667,3
.hack//GIFT,2003-11-16,1.3609,4.333,6
The Alternate,2021-09-11,0.6889,4.231,13
Quantum Apocalypse,2010-02-24,1.0738,3.8,90
Ultraman Zero: The Revenge of Belial,2010-12-23,1.6272,7.471,17
Justice League: Gods and Monsters,2015-07-14,1.4318,7.108,607
Ice Storm,2023-03-03,1.675,5.6,57
Zyuden Sentai Kyoryuger the Movie:  Gaburincho of Music,2013-08-03,1.4668,5.7,9
Godzilla 2000: Millennium,2000-08-18,2.1754,6.927,294
Robo,2019-10-31,1.7108,6.9,46
World War III Breaks Out,1960-10-19,1.0322,6.3,3
Date A Bullet: Dead or Bullet,2020-08-14,1.8962,7.033,30
Gintama 2: Rules are Made to Be Broken,2018-08-04,1.5514,7.111,81
SeX,2003-12-04,1.7052,6.182,33
Frankenstein 1970,1958-07-20,1.0554,5.291,43
Ressha Sentai ToQger vs. Kamen Rider Gaim: Spring Break Combined Special,2014-03-30,1.6147,7.5,10
Rise of the Machine Girls,2019-08-17,0.9846,5.0,15
Dead Sushi,2012-09-21,1.116,5.675,80
Kaizoku Sentai Gokaiger: The Movie - The Flying Ghost Ship,2011-08-06,1.8473,6.4,12
She Is Conann,2024-02-02,1.0179,5.75,26
Dr. Sex,1964-01-04,1.474,2.7,10
Doraemon: Nobita and the Birth of Japan,1989-03-11,1.8037,6.694,31
Heart of a Dog,1988-11-11,1.2742,7.9,182
Dracula 3000,2004-08-09,1.384,2.778,151
Monkey Shines,1988-07-29,1.3681,6.302,349
Он - дракон 2,,0.9555,0.0,0
SFX Retaliator,1988-02-01,1.8408,3.7,3
Avalon,2001-11-17,1.2749,6.515,343
Jurassic Thunder,2019-08-24,1.7571,4.136,11
Armitage: Dual Matrix,2002-03-22,1.5309,6.3,57
Diamantino,2018-11-28,1.7602,6.107,90
The Clone Returns Home,2009-02-01,1.08,5.8,34
Beer Money,2001-06-19,1.5958,4.7,7
Kabaneri of the Iron Fortress: Life That Burns,2017-01-07,2.1441,7.3,29
Alien Planet,2005-05-14,1.6598,7.1,28
Infinite Summer,2025-04-11,2.0823,6.0,3
Journey to the Center of Time,1967-05-31,0.8095,3.528,18
Final Invasion,,1.0643,0.0,0
Black Noise,2023-11-03,1.5336,5.243,37
Emmanuelle: First Contact,1994-06-20,1.5354,5.234,32
Libra,1978-11-01,1.7145,5.1,4
Galaxia,1960-11-16,1.9043,0.0,0
Galaxy of Terror,1981-10-01,1.5156,5.229,245
Day of the Dead,2008-04-08,1.7214,5.232,426
Cyborg 009 vs. Devilman,2016-04-01,1.7722,6.3,20
Sculpt,2016-08-16,1.8364,1.0,2
The Stuff,1985-06-14,1.4801,5.987,516
The Fantastic Four,1994-05-31,1.6384,4.386,215
Shin Kamen Rider: Prologue,2025-04-08,1.0024,6.2,18
The Dustwalker,2020-03-20,0.8546,4.05,40
Silk,2006-09-28,1.5479,6.152,89
Knight Rider 2000,1991-05-19,1.369,5.454,108
Level Five,2014-08-15,0.7007,6.0,31
The Artifice Girl,2023-04-27,1.7265,6.775,273
Destroy All Monsters,1969-05-23,2.0663,6.9,269
Frankenstein Must Be Destroyed,1970-02-11,1.1495,6.3,128
Robot Chicken: Star Wars Episode III,2010-12-19,1.129,7.438,160
Lake Placid 3,2010-08-21,1.6699,5.034,261
Space Battleship Yamato 2199: Odyssey of the Celestial Ark,2014-12-06,1.6798,7.5,16
Tokumei Sentai Go-Busters vs. Beet Buster vs. J,2012-09-01,1.318,10.0,1
Jimmy Timmy Power Hour,2004-05-07,1.2032,7.0,72
Cherry 2000,1988-02-05,2.1045,5.963,268
Jango,2021-11-19,0.6374,4.75,4
Darklight,2004-01-01,0.9727,5.0,30
C.H.U.D.,1984-08-31,1.8768,5.637,303
Death Note: Light Up the NEW World,2016-10-29,1.4495,6.346,178
Armored Trooper VOTOMS: Alone Again,2011-01-08,1.3277,6.5,4
"Psalms of Planets Eureka Seven: Good Night, Sleep Tight, Young Lovers",2009-09-24,1.6325,6.4,31
Genocyber,1994-03-02,1.7035,5.5,33
Terror Beneath the Sea,1966-07-01,0.9575,5.294,17
Captain America,1992-07-22,1.3815,4.498,445
Techno Warriors,1997-11-22,0.8552,6.5,2
The Adventures of Pluto Nash,2002-08-16,1.5498,4.385,525
Ultraman Tiga & Ultraman Dyna: Warriors of the Star of Light,1998-03-14,1.3103,6.4,22
Nude on the Moon,1961-01-01,1.5313,4.156,32
"Ultramarines: A Warhammer 40,000 Movie",2010-12-10,1.6771,5.832,152
Impulse,1984-09-28,1.8083,5.1,51
Gandahar,1988-01-28,1.924,6.9,138
Bio,2017-08-24,1.6066,5.25,4
Future,2017-09-10,0.8321,4.5,2
trancemission,1999-08-02,0.8266,0.0,0
Cough,2013-08-17,1.7808,0.0,0
Tremors 5: Bloodlines,2015-10-06,1.6558,5.539,447
UKM: The Ultimate Killing Machine,2006-11-21,0.9405,2.9,22
World of Tomorrow Episode Two: The Burden of Other People's Thoughts,2017-09-22,0.7675,8.0,64
August in the Water,1995-09-09,1.2173,6.8,32
Anatar,2023-01-19,1.9103,3.5,24
Alterscape,2018-02-23,1.5845,3.4,15
Realive,2016-12-13,0.9583,6.021,214
Change of Mind,1969-10-08,1.1068,4.8,4
Sky Sharks,2020-08-27,2.227,4.848,115
Time Freak,2011-02-10,1.7162,7.0,14
Samurai Sentai Shinkenger the Movie: The Fateful War,2009-08-08,1.5659,3.9,7
Nightbeast,1982-11-01,1.594,4.071,70
Justice League Dark,2017-01-24,1.9092,7.294,1122
Advantageous,2015-06-23,1.9598,5.963,164
Infested,2002-10-18,1.9366,4.524,21
Kamen Rider Geats × Revice: Movie Battle Royale,2022-12-23,1.8918,6.2,11
Professor Shanku O El Dorado,2019-12-20,0.6507,6.0,4
Aria,2018-12-01,1.7854,0.0,0
Clone Cops,2025-01-31,0.821,10.0,1
Nine Legends,2016-01-28,1.5948,0.0,0
Ben 10: Destroy All Aliens,2012-03-23,1.6737,6.476,103
Urusei Yatsura: Lum the Forever,1986-02-25,1.3047,5.6,18
Ultraman Geed the Movie: Connect! The Wishes!!,2018-03-10,2.0066,7.0,25
Scream and Scream Again,1970-02-02,0.9016,5.281,105
Andron,2016-06-03,1.9681,3.692,146
Kamen Rider Hibiki The Movie: Hibiki & The Seven War Oni,2005-09-03,1.5236,5.5,6
Critters 3,1991-12-11,1.5467,5.287,448
Half Lives,2024-10-19,1.5551,4.0,1
Colonie,2022-09-04,0.716,0.0,0
Kamen Rider Revice the Movie Spin-Off: Birth of Chimera,2022-07-22,0.9803,0.0,0
I'm Your Man,2021-09-24,1.445,6.742,357
Star Trek III: The Search for Spock,1984-06-01,1.63,6.588,1484
The Hidden,1987-10-30,1.8425,6.898,473
Renner,2025-02-07,1.8925,5.268,28
Circle,2015-05-28,1.6874,6.014,2102
CyberWorld,2000-10-06,1.6614,6.2,4
Noon,2013-01-14,1.7063,5.0,2
Zari,2014-09-27,1.6711,5.5,2
Invasion of the Body Snatchers,1956-02-05,1.4591,7.5,1174
Ghost Machine,2009-02-01,1.0378,4.759,56
Body Bags,1993-08-08,1.7264,6.117,370
Torrent,2018-09-07,1.9057,0.0,0
Godzilla x Kong: Supernova,2027-03-26,1.577,0.0,0
Ice Spiders,2007-06-09,0.9774,4.045,77
The Philadelphia Experiment,1984-08-03,1.4401,6.1,435
Vampire Bats,2005-10-30,1.4354,4.343,35
Loups=Garous,2010-08-28,1.5005,4.8,19
Press Play,2022-06-24,1.8902,6.6,84
Fahrenheit 451,1966-11-02,1.9036,7.115,1055
ID EST,,1.4609,0.0,0
Eden of the East Movie I: The King of Eden,2011-04-26,1.588,6.8,76
Webcam,2024-01-24,1.6661,6.0,1
Survivor,1999-05-13,0.9567,3.7,3
Doraemon: New Nobita's Great Demon - Peko and the Exploration Party of Five,2014-10-01,1.7953,6.1,123
Short Circuit 2,1988-07-06,1.5827,6.208,643
The Land That Time Forgot,2025-01-24,1.5177,4.682,11
Xtro,1983-01-07,1.3242,5.753,239
Towa no Quon 1: The Ephemeral Petals,2011-06-17,1.2107,6.8,30
Kim Possible Movie: So the Drama,2005-04-08,1.622,6.93,194
Mamántula,2024-06-21,1.7912,4.1,7
Mousa,2023-01-01,1.0909,6.828,32
Code Geass: Rozé of the Recapture - Final Act,2024-08-02,1.3016,0.0,0
On the Beach,1959-12-17,1.5179,6.664,232
Möbius,1993-04-01,1.3854,0.0,0
Datenpanne - Das kann uns nie passieren,1983-11-07,0.8695,8.7,3
Deep Space,2018-10-20,0.9145,5.6,5
Cosmic Sin,2021-03-12,2.0658,3.983,575
Alag,2006-06-16,1.0849,4.636,11
Love 2002,1972-12-22,2.0603,5.0,1
Jules,2023-08-11,1.5248,7.2,371
Shivers,1975-05-16,1.563,6.38,698
The Last Man on Earth,1964-05-06,1.6031,6.576,474
Wellwood,2025-03-24,1.5549,5.75,8
Wake Up,2016-03-08,1.5492,0.0,0
The Pod Generation,2023-08-11,1.4503,5.967,245
InterReflections,2020-01-26,1.8296,6.3,14
Blade: House of Chthon,2006-06-28,1.7194,5.7,85
Colorless,2021-06-19,1.6175,0.0,0
Dogora,1965-04-01,1.4218,6.744,43
Japan Sinks,2006-07-15,1.6824,5.531,32
Venus,2021-01-15,1.8687,5.3,3
Mac and Me,1988-08-12,2.1883,4.417,271
Superman/Batman: Apocalypse,2010-09-28,1.5506,7.163,750
Sex Demon Human 3: Pleasure in Another Dimension,2020-12-04,0.8644,2.0,2
Blush,2021-06-13,1.1167,7.786,175
"Kamen Rider Ghost: Ikkyu Intimacy! Awaken, My Quick Wit Power!!",2015-12-26,1.3069,0.0,0
Mannequin Two: On the Move,1991-05-17,1.4695,5.8,167
The Privates,2017-03-19,0.6985,7.0,8
Mercury Man,2006-08-10,1.1216,3.8,17
Kamen Rider Gaim: Final Stage,2015-02-13,1.2919,0.0,0
Romantic Killer,2025-12-12,0.9411,0.0,0
Reset,2017-06-30,1.5733,6.955,110
Roujin Z,1996-01-05,2.0441,6.564,133
Status Update,2018-02-09,1.6782,7.28,563
Urusei Yatsura: Beautiful Dreamer,1992-11-01,1.8182,7.3,96
Mashin Sentai Kiramager Spin-Off: Yodonna,2021-08-08,1.2669,7.5,2
The Dungeonmaster,1984-08-24,0.8925,4.8,76
Dinocroc,2004-04-20,1.7038,3.936,47
Repeat Shoe,2022-10-14,1.5049,0.0,0
Kamen Rider × Kamen Rider W & Decade: Movie War 2010,2009-12-12,1.6362,6.2,14
Kishiryu Sentai Ryusoulger VS Lupinranger VS Patranger,2020-02-08,1.55,9.0,1
Alien Rising,2014-12-02,0.9833,3.9,11
Meander,2021-07-09,1.7481,5.916,462
Godzilla vs. Mechagodzilla,1977-03-24,1.7256,7.0,274
Defective,2018-02-13,1.7737,4.375,24
Anonymous Rex,2004-11-19,1.6331,4.667,21
Kitaro,2007-04-28,1.4382,5.3,13
Mobile Suit Gundam 00 Special Edition III: Return The World,2010-02-23,1.4933,6.8,23
The Stepford Wives,1975-02-12,1.7098,6.689,355
Avataro Sentai Donbrothers The Movie: New First Love Hero,2022-07-22,1.012,6.3,14
Prince,2010-04-09,0.9449,5.2,16
Falsehood,2025-10-26,1.6102,0.0,0
Legend of the Galactic Heroes: Die Neue These - Intrigue 1,2022-09-30,1.7,6.074,54
Tokyo: The Last War,1989-09-15,0.983,6.1,8
Star☆Twinkle PreCure the Movie: Wish Upon a Song of Stars,2019-10-19,1.5462,5.5,9
VIVA,2022-07-06,0.7931,0.0,0
Weather Woman,1996-08-16,1.3869,2.9,12
Kaw,2007-04-07,1.5944,4.494,84
Clarity,2016-12-17,1.6054,5.0,1
Battlesuit,,1.4374,0.0,0
Death Trance,2006-04-21,1.0057,5.931,65
Gatchaman,2013-08-24,1.409,5.643,21
Rubikon,2022-07-01,1.3696,5.344,157
Eyeborgs,2009-04-29,2.1954,4.546,65
Science Fiction Volume One: The Osiris Child,2017-10-06,1.8998,5.633,523
Northspur,2021-07-27,1.7639,6.9,10
God Told Me To,1976-10-22,1.3304,5.8,155
Life Returns,1935-01-02,0.8687,4.2,6
Pamela & Ivy,2020-05-11,0.9045,2.0,1
Re-Kill,2015-10-16,1.7751,5.971,174
Hashtag,2019-07-20,1.5375,4.429,7
Lost in the Pacific,2016-12-01,1.1686,4.303,33
Too Close to the Gods,1992-01-01,0.9526,0.0,0
Ben 10 / Generator Rex: Heroes United,2011-11-25,1.7784,7.1,58
Portals,2019-10-25,1.6041,3.844,48
Chimera Strain,2018-02-24,1.6045,4.0,22
Mahou Sentai Magiranger vs. Dekaranger,2006-03-10,1.9327,6.2,11
Terminator: Termination,2012-04-18,1.5773,0.0,0
Another Time,2018-04-24,1.1542,5.6,34
Lisa,2012-12-30,1.5267,0.0,0
Twinkle Twinkle Little Star,1983-02-12,1.0945,6.3,3
Mimic: Sentinel,2003-04-14,1.2406,4.905,163
Orbit,2011-09-04,1.4535,3.0,1
Tammy and the T-Rex,1994-12-28,1.4687,5.057,175
Possible Worlds,2000-09-04,0.8842,6.352,44
Beast Wars II: Lio Convoy's Close Call!,1998-12-19,1.0741,7.0,2
Magic Crystal,1986-09-17,1.646,6.6,32
The History of Future Folk,2012-06-15,0.8739,6.618,60
Girls Drive,2023-11-10,0.7975,8.0,1
Beyond,2003-06-03,1.0889,7.3,149
Futurama: Bender's Game,2008-11-04,1.3448,6.902,589
"Hard Revenge, Milly: Bloody Battle",2009-07-11,1.4689,5.7,17
Caught,2018-03-30,1.7315,5.122,45
Frankenstein 90,1984-08-14,1.0327,5.5,17
Gamer,2001-03-21,1.7203,2.7,21
TEKKEN: Blood Vengeance,2011-07-26,1.7844,6.76,221
Heaven's Soldiers,2005-06-14,1.1578,6.048,31
Divinity,2023-10-13,1.9287,5.205,44
Aria the Benedizione,2021-12-03,1.5454,7.1,14
Kamen Rider Gotchard GRADUATIONS,2025-02-21,1.0776,0.0,0
Justice Served,2016-09-06,0.5538,0.0,0
Marooned,1969-12-11,1.3679,5.921,107
Alien Invasion: S.U.M.1,2017-12-01,1.9534,4.643,70
Prodigal,2011-09-01,1.6847,5.6,5
Voices of a Distant Star,2003-06-10,1.4096,6.5,325
Apoptosis,2017-11-20,1.4022,0.0,0
Lethal Target,1999-12-31,0.7464,2.667,9
ESPY,1974-12-28,1.208,5.0,7
Halo: Nightfall,2014-02-05,1.5472,6.775,182
The Plant,1995-01-20,0.7973,3.25,4
Psycho-Pass: Sinners of the System - Case.2 First Guardian,2019-02-15,1.5857,6.805,82
Megalodon,2018-08-13,1.4219,5.444,293
Battle Angel,1993-06-21,1.6832,6.865,222
Safety Not Guaranteed,2012-06-08,2.0218,6.78,1590
Interlude,2015-09-17,1.5406,6.625,8
Axel 2: Adventures of the Spacekids,2017-12-31,0.9851,8.0,2
Plan 9 from Outer Space,1957-03-15,1.3773,4.2,591
Digimon: The Movie,2000-10-06,2.0879,6.514,290
Dead Still,2014-10-06,0.9331,3.6,18
Battle Drone,2018-03-01,1.0469,5.088,74
Godzilla 1985,1985-08-23,1.4094,6.795,193
Dengeki Sentai Changeman: Shuttle Base! The Critical Moment!,1985-07-13,1.1008,8.2,4
Legend of the Galactic Heroes: My Conquest Is the Sea of Stars,1988-02-06,1.6695,7.9,49
Replica,2005-04-01,1.4601,3.2,10
Emmanuelle Through Time: Emmanuelle's Forbidden Pleasures,2012-06-12,1.0649,3.8,5
Monolith,2024-02-16,1.3904,6.101,188
Mirai Sentai Timeranger vs GoGoFive,2001-03-09,1.7661,5.9,7
The Return,2020-09-05,1.3247,6.704,272
The Ewok Adventure,1984-11-25,1.8974,5.873,409
Live,2019-07-25,1.7127,2.0,2
Doorways,1993-04-21,0.9824,4.25,4
Light of My Life,2019-08-09,1.9364,6.454,570
Alien Hunter,2016-04-01,1.7625,5.0,1
Midnight Massacre,2025-10-25,1.1175,0.0,0
Kill Switch,2017-06-16,1.1315,4.9,274
Spider-Man,1977-09-14,1.6469,6.341,204
Orthus,2018-08-15,1.548,0.0,0
Making Contact,1985-12-27,1.6676,5.534,59
Sagrada Reset Part 1,2017-03-25,1.3895,5.1,8
Stainless Steel and the Star Spies,1981-01-01,0.9538,1.0,1
Mashin Sentai Kiramager Final Live Tour 2021,2021-09-08,1.1623,7.0,1
Go! Anpanman: When the Flower of Courage opens,1999-07-24,1.4824,5.8,5
Gentlemen Broncos,2009-09-30,1.2572,5.669,186
Repo! The Genetic Opera,2008-11-07,1.5261,6.265,374
Mar.IA,2025-10-14,2.294,2.643,7
Urusei Yatsura: Remember My Love,1985-01-26,1.8469,5.31,21
Doomsday Prophecy,2011-08-13,1.35,4.1,96
Notzilla,2019-07-13,1.67,3.308,13
Cora,2024-05-31,2.1499,5.409,22
Axcellerator,2020-04-08,1.7036,6.202,42
Instant,2018-07-19,1.6205,5.3,3
Moon Child,2004-04-12,1.2152,5.688,32
Love Only,2018-03-02,0.8679,0.0,0
Antiviral,2013-04-12,1.729,5.966,430
Easter 2016,1982-05-18,2.0962,0.0,0
8 x 10 Tasveer,2009-04-03,0.9746,5.24,25
The Star Wars Holiday Special,1978-11-17,1.5487,3.395,499
Maxmillian Tarzan,1999-01-01,1.7083,5.5,2
Kishiryu Sentai Ryusoulger Special Chapter: Memory of Soulmates,2021-02-20,1.3383,10.0,1
Gayniggers from Outer Space,1993-02-23,1.4335,4.826,86
The Car: Road to Revenge,2019-01-08,1.3658,6.335,112
Urusei Yatsura: Memorial Album,1986-09-15,1.1783,5.2,5
Incoming,2018-05-04,1.123,4.438,96
Scooby-Doo and the Alien Invaders,2000-10-03,1.5422,7.089,389
LEGO Star Wars Summer Vacation,2022-08-05,1.2072,6.3,99
Filmatron,2007-09-16,0.6184,6.0,1
Matango,1965-01-01,1.416,6.7,103
Generation,1985-05-24,0.8326,4.5,2
The Defender,1997-02-01,0.8698,4.0,1
Timescape: Back to the Dinosaurs,2023-06-30,1.6707,7.3,28
Mardock Scramble: The Second Combustion,2011-09-03,1.5676,6.326,86
What Planet Are You From?,2000-03-03,1.3584,5.409,165
The Universe,2023-01-14,1.6614,7.0,1
Uninvited,1988-08-24,1.6731,4.708,84
Space Amoeba,1971-06-09,1.2546,6.423,52
Stowaway,2021-04-22,1.8159,5.971,631
Top Line,1988-08-16,1.6426,4.0,12
Vidocq,2007-01-02,1.7335,5.944,567
Time After Time,1979-09-28,1.5311,6.794,376
Polish Girl,2011-09-12,1.6563,0.0,0
Santamaria,2019-04-20,1.7883,0.0,0
Parasite Eve,1998-08-31,1.1149,5.569,29
Deep Blue Sea 3,2020-07-28,1.3877,5.542,345
Man of Tomorrow,2027-07-09,1.5894,0.0,0
Alien Agent,2008-04-08,1.6973,4.136,44
Tokyo Ghoul 'S',2019-07-19,1.7317,6.536,97
Rose Red,1994-01-01,1.8902,9.0,4
The Damned,1965-06-07,1.1918,6.24,127
Ultraman Zero Side Story: Killer the Beatstar - Stage II: Oath of the Meteor,2011-12-22,1.8458,6.0,1
School in the Crosshairs,1981-07-11,1.1831,6.2,25
The Return of the Six-Million-Dollar Man and the Bionic Woman,1987-05-17,1.1378,7.254,61
Doraemon: Nobita and the Knights on Dinosaurs,1987-03-14,1.5671,6.8,36
Jurassic Triangle,2024-02-13,1.6684,2.7,10
Mafia: Survival Game,2016-01-01,1.2021,4.4,109
Star Hunter,1998-02-17,0.8607,4.056,9
Retrograde,,1.7279,0.0,0
Ultraman Mebius & Ultra Brothers,2006-09-16,1.4575,7.7,14
Creature from the Black Lagoon,1954-03-05,1.6502,6.819,842
Life of Mariko in Kabukicho,2023-01-12,1.2908,6.8,6
Hellraiser: Bloodline,1996-03-08,1.6723,5.28,600
The Ultimate Planet,2026-09-24,1.0321,0.0,0
Capulina vs. the Monsters,1974-08-22,0.5315,6.4,20
RoboGeisha,2009-10-03,1.1112,5.359,78
Weaponized,2016-03-01,1.1632,3.693,44
Silver Hawk,2005-01-01,1.6628,5.508,59
Frankenstein,2015-08-15,1.7396,5.404,115
Ultraman Zearth 2: Superhuman Big Battle - Light and Shadow,1997-04-12,1.1588,7.2,4
Ink & Rain,2018-04-26,1.6632,3.0,2
Adabana,2024-10-18,2.0892,0.0,0
In the Country of Last Things,2020-11-27,0.8127,4.2,10
Revenge of the Stepford Wives,1980-10-12,1.0593,5.059,17
The Strange Bedfellow,1986-01-11,1.2531,7.0,2
Breeders,1986-05-02,1.572,4.601,69
Black Moon Rising,1986-01-10,1.8549,5.5,159
Akakage: 3-D Adventure Movie,1969-07-20,0.9847,7.0,1
Ultraman: Great Monster Decisive Battle,1979-07-21,1.0946,6.3,3
The Land That Time Forgot,1974-08-13,1.294,5.653,190
Red Earth,2010-03-26,0.9548,0.0,0
Contact,2015-02-13,1.4438,0.0,0
Mr. Sunshine,1989-07-13,1.0152,0.0,0
Escape to Witch Mountain,1975-03-21,1.5709,6.383,227
Warriors of the Year 2072,1984-01-28,1.8976,5.053,57
Star Virgin,1988-06-05,1.0165,5.25,8
SF Ninja Cyber Trip,2008-09-03,1.9212,0.0,0
Universal Soldier II: Brothers in Arms,1998-09-27,1.2895,4.239,67
Yamato,1978-01-01,1.5823,0.0,0
Future Century Amazons,2017-04-29,0.7888,2.2,4
Memoirs of an Invisible Man,1992-02-28,1.7694,5.882,634
The Mysterious Book,1916-11-27,1.4061,7.0,2
It's Me It's Me,2013-11-08,1.368,6.179,14
Final Fantasy VII: Last Order,2007-02-20,1.6966,6.6,75
For Whom the Alchemist Exists,2019-06-14,1.5899,5.6,8
(Dis)connected,2023-07-23,1.5555,6.0,1
Ultraman R/B The Movie: Select! The Crystal of Bond,2019-03-08,1.3007,7.2,16
Virtuality,2009-06-26,1.9466,5.1,91
The Final Cut,2004-10-15,1.6983,6.067,751
Fukashigi monogatari: Fantastic Collection,1988-02-26,1.5421,0.0,0
Monsters of Man,2020-12-08,1.4725,6.366,393
Marvel Rising: Secret Warriors,2018-09-30,1.401,6.415,123
Library War: The Wings of Revolution,2012-06-15,1.7001,6.3,7
The Garden of Sinners: Future Gospel - Extra Chorus,2013-09-28,1.343,6.975,40
Bug,1975-06-06,1.3338,5.25,98
Murderbot,2023-03-31,1.9224,6.0,4
Alpha Code,2020-07-07,1.1517,5.2,19
Dolmen X,2018-06-15,1.6898,6.0,1
Lustmord,2025-09-30,0.8494,4.6,9
Antö,2017-03-21,1.6322,0.0,0
Phase IV,1974-09-13,1.2589,6.324,287
The Adventure of A.R.I.: My Robot Friend,2020-03-10,1.2183,7.065,31
Athos 2643,2027-02-25,1.8637,0.0,0
South Park: Joining the Panderverse,2023-10-27,1.5763,7.614,264
Mind Blown,2016-12-01,1.0386,4.9,34
Loveland,2022-03-18,1.2999,4.704,27
Flying Monkeys,2013-03-09,1.1563,5.242,31
Eden Log,2009-05-19,1.6529,5.054,166
The Secret of Two Oceans,1957-03-25,1.0104,5.3,17
Hurricane Polymar,2017-03-13,1.0974,5.0,2
Corrective Measures,2022-04-29,1.4429,5.041,109
Lisa,2005-09-01,1.6696,0.0,0
Abduct,2019-08-02,1.5448,3.2,6
WE 12,2024-03-28,0.9081,6.2,3
Batman: Bad Blood,2016-01-19,1.498,7.026,971
Infected,2013-04-09,1.5266,3.326,23
Black Fox,2019-10-05,1.5557,6.6,48
Skyline: Warpath,,1.1301,0.0,0
The Garden of Sinners: Future Gospel,2013-09-28,1.6031,7.3,73
Kamen Rider Ex-Aid the Movie: True Ending,2017-08-05,1.2462,7.6,7
Lake Placid: The Final Chapter,2012-09-29,1.5188,5.127,204
Crazy Alien,2019-02-05,1.0624,6.141,78
Mashin Sentai Kiramager: G-Rosso Stage Show Final Battle Shine! Glittering Light!,2021-04-17,0.7751,0.0,0
Bill & Ted's Bogus Journey,1991-07-19,1.7273,6.286,1331
Elephants Dream,2006-03-24,1.497,5.754,69
Ultimate Mission,2025-08-08,1.256,7.0,4
Super Fuzz,1980-09-18,1.5482,6.455,352
Black Friday,2021-11-19,1.2881,4.973,277
Freesia: Bullet Over Tears,2007-02-01,0.8849,5.6,7
Zelňačka,1996-03-13,1.8052,1.0,2
From the End of the World,2023-03-22,1.1773,6.682,22
Ultraman Nexus EX: Shiori - Lost Memories -,2005-09-23,0.7261,0.0,0
Cocaine Shark,2023-05-23,0.7176,2.917,24
Escape from the 21st Century,2025-06-09,1.5744,6.813,104
Reversion,2015-10-09,0.9445,5.3,6
The Surface,2015-10-01,0.6504,6.5,4
Helix,2015-03-10,1.5028,5.136,22
Dickshark,2016-03-22,1.5233,3.063,24
Traveler,2015-12-05,1.4081,5.8,9
Mobile Suit Gundam: The Origin IV – Eve of Destiny,2016-11-19,1.2386,7.654,26
Ashes,2010-09-09,1.1607,4.6,10
Tsubasa Chronicle: Shunraiki,2009-03-17,1.1772,8.0,1
The War in Space,1977-12-17,1.13,5.96,25
The Unknown,2000-10-06,1.4265,5.0,28
Dirty Pair: Project Eden,1986-11-28,1.5762,7.0,39
Mobile Suit Gundam Thunderbolt: December Sky,2016-06-25,1.5491,7.5,26
Beware! The Blob,1972-06-21,1.0452,4.6,74
The Survivalist,2021-10-01,1.3707,4.414,99
